KSHKOD,"TELNEV","TELNEV CLEAR",POP,SIZE_km2,latitude,longitude,SUBREG,SUBREGCENT,COUNTYCODE,COUNTYCENT,TOWN,REGION,UNIV
2303,"Nyáregyháza","Nyaregyhaza",3854,3201,47.260055,19.505597,4305,0,13,0,0,1,0
2414,"Verpelét","Verpelet",3812,5318,47.84652,20.225825,4001,0,10,0,0,5,0
1132,"Mezõkeresztes","Mezokeresztes",3803,7425,47.830232,20.689396,3505,0,5,0,1,5,0
2666,"Kiszombor","Kiszombor",3772,6581,46.18751,20.428341,3604,0,6,0,0,7,0
268,"Békésszentandrás","Bekesszentandras",3765,7745,46.87094,20.48576,3405,0,4,0,0,7,0
1400,"Nyíracsád","Nyiracsad",3763,7492,47.601793,21.972518,3909,0,9,0,0,6,0
3372,"Verõce","Veroce",3745,2033,47.822372,19.033923,4309,0,13,0,0,1,0
587,"Szajol","Szajol",3734,3697,47.17793,20.301095,4604,0,16,0,0,6,0
2330,"Gyenesdiás","Gyenesdias",3720,1850,46.773332,17.282686,5001,0,20,0,0,3,0
2451,"Ecser","Ecser",3714,1310,47.444679,19.316487,4305,0,13,0,0,1,0
3080,"Leányfalu","Leanyfalu",3706,1537,47.715372,19.088683,4314,0,13,0,0,1,0
2124,"Sükösd","Sukosd",3693,9418,46.28896,18.99324,3301,0,3,0,0,7,0
3012,"Medgyesegyháza","Medgyesegyhaza",3691,6429,46.497895,21.031665,3402,0,4,0,1,7,0
1433,"Arló","Arlo",3686,4687,48.188144,20.257402,3506,0,5,0,0,5,0
842,"Napkor","Napkor",3686,3735,47.937721,21.868209,4508,0,15,0,0,6,0
3229,"Nyírábrány","Nyirabrany",3657,5562,47.549365,22.02074,3909,0,9,0,0,6,0
1936,"Bábolna","Babolna",3654,3355,47.643665,17.97346,4104,0,11,0,1,2,0
2407,"Deszk","Deszk",3644,5205,46.218135,20.237425,3606,0,6,0,0,7,0
1824,"Taktaharkány","Taktaharkany",3642,3914,48.084731,21.139092,3509,0,5,0,0,5,0
414,"Hort","Hort",3627,4309,47.690414,19.788211,4005,0,10,0,0,5,0
912,"Farmos","Farmos",3621,4012,47.361552,19.845715,4306,0,13,0,0,1,0
2192,"Kápolnásnyék","Kapolnasnyek",3610,4150,47.241435,18.679883,3704,0,7,0,0,2,0
3140,"Kállósemjén","Kallosemjen",3590,5452,47.859088,21.918011,4506,0,15,0,0,6,0
997,"Délegyháza","Delegyhaza",3575,2542,47.252184,19.060974,4307,0,13,0,0,1,0
951,"Gádoros","Gadoros",3555,3813,46.67109,20.601387,3403,0,4,0,0,7,0
1776,"Zsombó","Zsombo",3552,2689,46.32708,19.970885,3606,0,6,0,0,7,0
1859,"Vaja","Vaja",3545,2861,48.003361,22.16879,4505,0,15,0,1,6,0
877,"Ajak","Ajak",3528,2476,48.183185,22.04789,4504,0,15,0,0,6,0
1483,"Zagyvarékas","Zagyvarekas",3512,3171,47.26768,20.12834,4604,0,16,0,0,6,0
3217,"Kál","Kal",3501,3481,47.73054,20.262535,4003,0,10,0,0,5,0
2158,"Érsekvadkert","Ersekvadkert",3497,5537,47.998312,19.19995,4201,0,12,0,0,5,0
243,"Bük","Buk",3493,2086,47.381721,16.756149,4802,0,18,0,1,3,0
3314,"Nyírpazony","Nyirpazony",3488,1505,47.985785,21.800343,4508,0,15,0,0,6,0
1730,"Tápiógyörgye","Tapiogyorgye",3487,5331,47.33622,19.949289,4306,0,13,0,0,1,0
3083,"Hosszúhetény","Hosszuheteny",3486,4527,46.162804,18.352398,3201,0,2,0,0,4,0
704,"Baracs","Baracs",3484,5518,46.88511,18.90399,3702,0,7,0,0,2,0
1790,"Hegyeshalom","Hegyeshalom",3479,5266,47.914796,17.15615,3804,0,8,0,0,3,0
988,"Fertõd","Fertod",3461,4856,47.620392,16.879936,3805,0,8,0,1,3,0
1501,"Tápióbicske","Tapiobicske",3449,4848,47.3624,19.68645,4306,0,13,0,0,1,0
603,"Felsõpakony","Felsopakony",3443,1533,47.343045,19.23606,4312,0,13,0,0,1,0
3071,"Jászalsószentgyörgy","Jaszalsoszentgyorgy",3432,4767,47.371559,20.09124,4601,0,16,0,0,6,0
2165,"Nagybajom","Nagybajom",3431,10806,46.393417,17.50133,4411,0,14,0,1,4,0
2367,"Balástya","Balastya",3423,11000,46.422507,20.012979,3603,0,6,0,0,7,0
2834,"Vaskút","Vaskut",3421,7149,46.108145,18.989065,3301,0,3,0,0,7,0
1340,"Ballószög","Balloszog",3418,3500,46.86293,19.57382,3304,0,3,0,0,7,0
3120,"Hernádnémeti","Hernadnemeti",3417,2876,48.077085,20.97489,3501,0,5,0,0,5,0
1214,"Csepreg","Csepreg",3384,4954,47.40258,16.707025,4802,1,18,0,1,3,0
2960,"Pilisborosjenõ","Pilisborosjeno",3373,927,47.60584,18.992147,4313,0,13,0,0,1,0
1130,"Besenyszög","Besenyszog",3372,13808,47.297421,20.25761,4604,0,16,0,0,6,0
2146,"Tóalmás","Toalmas",3371,3935,47.50919,19.664865,4306,0,13,0,0,1,0
1632,"Felsõtárkány","Felsotarkany",3358,7732,47.977132,20.42355,4001,0,10,0,0,5,0
2642,"Vép","Vep",3358,3289,47.23098,16.723025,4808,0,18,0,1,3,0
580,"Gávavencsellõ","Gavavencsello",3352,6683,48.165625,21.56491,4511,0,15,0,0,6,0
2365,"Herend","Herend",3339,1956,47.133101,17.750189,4908,0,19,0,1,2,0
1269,"Szõd","Szod",3335,1574,47.718552,19.182721,4309,0,13,0,0,1,0
