KSHKOD,"TELNEV","TELNEV CLEAR",POP,SIZE_km2,latitude,longitude,SUBREG,SUBREGCENT,COUNTYCODE,COUNTYCENT,TOWN,REGION,UNIV
1047,"Császártöltés","Csaszartoltes",2323,8206,46.42205,19.176701,3305,0,3,0,0,7,0
787,"Szigetcsép","Szigetcsep",2319,1820,47.26615,18.971495,4307,0,13,0,0,1,0
2618,"Békéssámson","Bekessamson",2318,7121,46.424855,20.61835,3403,0,4,0,0,7,0
708,"Tiszanána","Tiszanana",2309,6814,47.56251,20.522275,4002,0,10,0,0,5,0
2807,"Kerecsend","Kerecsend",2304,2458,47.797059,20.347309,4001,0,10,0,0,5,0
1279,"Ópusztaszer","Opusztaszer",2299,5950,46.49327,20.066985,3603,0,6,0,0,7,0
1681,"Szedres","Szedres",2299,4631,46.474845,18.68408,4704,0,17,0,0,4,0
1117,"Kéthely","Kethely",2297,4906,46.64379,17.395485,4406,0,14,0,0,4,0
1829,"Nyírkarász","Nyirkarasz",2296,4143,48.102288,22.09722,4501,0,15,0,0,6,0
1291,"Vonyarcvashegy","Vonyarcvashegy",2291,1428,46.761955,17.315935,5001,0,20,0,0,3,0
3367,"Mosonszentmiklós","Mosonszentmiklos",2282,3071,47.73214,17.42459,3804,0,8,0,0,3,0
2305,"Nyárlõrinc","Nyarlorinc",2282,6636,46.85952,19.876635,3304,0,3,0,0,7,0
1397,"Tiszakarád","Tiszakarad",2279,4756,48.210765,21.718755,3513,0,5,0,0,5,0
1405,"Fülöpszállás","Fulopszallas",2278,9132,46.819019,19.23761,3305,0,3,0,0,7,0
1403,"Nagymányok","Nagymanyok",2273,1068,46.281585,18.461355,4701,0,17,0,1,4,0
2621,"Szigetmonostor","Szigetmonostor",2270,2351,47.69025,19.101345,4314,0,13,0,0,1,0
1958,"Pincehely","Pincehely",2266,5008,46.681726,18.439494,4705,0,17,0,0,4,0
3034,"Sajószöged","Sajoszoged",2265,1362,47.947239,20.991369,3511,0,5,0,0,5,0
2545,"Öskü","Osku",2262,4830,47.16066,18.070511,4907,0,19,0,0,2,0
690,"Tengelic","Tengelic",2254,7093,46.52798,18.71234,4704,0,17,0,0,4,0
2818,"Perbál","Perbal",2239,2565,47.589108,18.755043,4313,0,13,0,0,1,0
2500,"Sáránd","Sarand",2238,2268,47.410041,21.632833,3908,0,9,0,0,6,0
1873,"Pilisszentkereszt","Pilisszentkereszt",2229,1721,47.69196,18.903825,4314,0,13,0,0,1,0
643,"Tiszadada","Tiszadada",2229,4875,48.031738,21.237823,4509,0,15,0,0,6,0
1667,"Töltéstava","Toltestava",2217,2317,47.626701,17.73398,3802,0,8,0,0,3,0
3024,"Zámoly","Zamoly",2216,4850,47.318665,18.41374,3707,0,7,0,0,2,0
1611,"Pellérd","Pellerd",2209,2093,46.03678,18.155771,3207,0,2,0,0,4,0
871,"Jobbágyi","Jobbagyi",2208,1783,47.82969,19.678885,4203,0,12,0,0,5,0
1970,"Buj","Buj",2206,3276,48.10392,21.652634,4511,0,15,0,0,6,0
1684,"Csány","Csany",2204,4789,47.649302,19.829366,4005,0,10,0,0,5,0
2184,"Péteri","Peteri",2201,1189,47.38795,19.41014,4305,0,13,0,0,1,0
2073,"Sajóvámos","Sajovamos",2200,3122,48.18198,20.83181,3501,0,5,0,0,5,0
608,"Ádánd","Adand",2199,2952,46.855885,18.14873,4408,0,14,0,0,4,0
2030,"Apagy","Apagy",2199,3204,47.968315,21.934394,4501,0,15,0,0,6,0
1219,"Romhány","Romhany",2199,2547,47.926012,19.25736,4204,0,12,0,0,5,0
1474,"Kimle","Kimle",2195,3726,47.827234,17.371236,3804,0,8,0,0,3,0
342,"Bogyiszló","Bogyiszlo",2193,5593,46.382585,18.81421,4704,0,17,0,0,4,0
480,"Domony","Domony",2187,2180,47.653455,19.43842,4301,0,13,0,0,1,0
2035,"Elõszállás","Eloszallas",2186,3998,46.83119,18.821545,3702,0,7,0,0,2,0
2595,"Nagybaracska","Nagybaracska",2181,3795,46.040845,18.90153,3301,0,3,0,0,7,0
488,"Ágfalva","Agfalva",2178,1308,47.689838,16.514895,3805,0,8,0,0,3,0
3234,"Almásfüzitõ","Almasfuzito",2174,819,47.73196,18.251805,4104,0,11,0,0,2,0
1325,"Szabadegyháza","Szabadegyhaza",2168,4164,47.074253,18.686656,3709,0,7,0,0,2,0
1066,"Városföld","Varosfold",2162,6165,46.8158,19.757151,3304,0,3,0,0,7,0
3395,"Bõny","Bony",2153,5042,47.651433,17.869103,3802,0,8,0,0,3,0
3373,"Kismaros","Kismaros",2151,1196,47.82617,19.0128,4309,0,13,0,0,1,0
1241,"Fertõrákos","Fertorakos",2144,2191,47.721501,16.64962,3805,0,8,0,0,3,0
2589,"Monostorpályi","Monostorpalyi",2136,4444,47.387925,21.775585,3908,0,9,0,0,6,0
3355,"Herceghalom","Herceghalom",2135,734,47.4961,18.745405,4310,0,13,0,0,1,0
1518,"Szigetszentmárton","Szigetszentmarton",2129,1073,47.23011,18.958945,4307,0,13,0,0,1,0
390,"Mád","Mad",2128,3186,48.190325,21.276525,3509,0,5,0,0,5,0
2148,"Nagydobos","Nagydobos",2128,2693,48.052565,22.30836,4505,0,15,0,0,6,0
2100,"Tordas","Tordas",2123,1676,47.34514,18.7535,3710,0,7,0,0,2,0
1239,"Kistokaj","Kistokaj",2121,976,48.04075,20.839846,3501,0,5,0,0,5,0
1466,"Pilismarót","Pilismarot",2120,4460,47.78596,18.872765,4102,0,11,0,0,2,0
267,"Kántorjánosi","Kantorjanosi",2116,4162,47.936787,22.146924,4505,0,15,0,0,6,0
238,"Bercel","Bercel",2111,3590,47.87361,19.400825,4201,0,12,0,0,5,0
1550,"Bõsárkány","Bosarkany",2111,2333,47.690829,17.249253,3801,0,8,0,0,3,0
1797,"Jászdózsa","Jaszdozsa",2110,4286,47.566965,20.014985,4601,0,16,0,0,6,0
750,"Lajoskomárom","Lajoskomarom",2110,7567,46.84203,18.337035,3703,0,7,0,0,2,0
2693,"Mocsa","Mocsa",2108,6720,47.669441,18.182282,4104,0,11,0,0,2,0
364,"Döge","Doge",2103,1654,48.25806,22.07058,4504,0,15,0,0,6,0
2526,"Alattyán","Alattyan",2101,3429,47.432365,20.04238,4601,0,16,0,0,6,0
2399,"Kompolt","Kompolt",2098,2273,47.74358,20.252825,4003,0,10,0,0,5,0
731,"Bokod","Bokod",2096,2993,47.490785,18.251605,4105,0,11,0,0,2,0
689,"Kópháza","Kophaza",2096,872,47.64029,16.644435,3805,0,8,0,0,3,0
2261,"Szomód","Szomod",2094,2834,47.683864,18.341988,4106,0,11,0,0,2,0
330,"Iklad","Iklad",2093,1121,47.65799,19.446365,4301,0,13,0,0,1,0
910,"Vácszentlászló","Vacszentlaszlo",2092,2987,47.574195,19.53739,4304,0,13,0,0,1,0
1423,"Buják","Bujak",2091,5304,47.884283,19.54489,4203,0,12,0,0,5,0
579,"Cserkeszõlõ","Cserkeszolo",2090,3070,46.863415,20.204425,4603,0,16,0,0,6,0
2398,"Nagyoroszi","Nagyoroszi",2087,4003,48.004338,19.089834,4204,0,12,0,0,5,0
2278,"Tiszaszentimre","Tiszaszentimre",2086,6561,47.491532,20.723351,4605,0,16,0,0,6,0
472,"Sály","Saly",2085,2557,47.948006,20.663554,3505,0,5,0,0,5,0
2232,"Badacsonytomaj","Badacsonytomaj",2080,3271,46.802223,17.514834,4906,0,19,0,1,2,0
746,"Mérk","Merk",2073,2508,47.78866,22.38008,4505,0,15,0,0,6,0
3010,"Mátraverebély","Matraverebely",2069,1840,47.97456,19.777805,4202,0,12,0,0,5,0
2224,"Pánd","Pand",2069,2221,47.350174,19.634287,4306,0,13,0,0,1,0
2903,"Mezõszilas","Mezoszilas",2068,6497,46.811925,18.482374,3706,0,7,0,0,2,0
2314,"Becsehely","Becsehely",2066,3608,46.450291,16.799889,5003,0,20,0,0,3,0
3028,"Gyönk","Gyonk",2066,3812,46.555569,18.47822,4705,0,17,0,1,4,0
711,"Balatonföldvár","Balatonfoldvar",2064,1532,46.849209,17.87907,4410,1,14,0,1,4,0
1128,"Katymár","Katymar",2060,7108,46.03432,19.20886,3302,0,3,0,0,7,0
2085,"Úrkút","Urkut",2059,2013,47.081295,17.641641,4910,0,19,0,0,2,0
1347,"Bucsa","Bucsa",2055,5582,47.204125,20.99795,3406,0,4,0,0,7,0
431,"Tarpa","Tarpa",2049,4973,48.103968,22.528558,4510,0,15,0,0,6,0
3275,"Dég","Deg",2047,4686,46.869355,18.44363,3703,0,7,0,0,2,0
1051,"Maroslele","Maroslele",2047,4656,46.266895,20.342345,3604,0,6,0,0,7,0
2162,"Zomba","Zomba",2047,5730,46.409696,18.567264,4704,0,17,0,0,4,0
455,"Litér","Liter",2044,1283,47.100795,18.01189,4902,0,19,0,0,2,0
1965,"Máriapócs","Mariapocs",2042,2209,47.87882,22.02554,4507,0,15,0,1,6,0
790,"Nyírcsaholy","Nyircsaholy",2039,3434,47.90396,22.334983,4505,0,15,0,0,6,0
2393,"Méhkerék","Mehkerek",2033,2585,46.776627,21.447298,3404,0,4,0,0,7,0
1626,"Szentkirályszabadja","Szentkiralyszabadja",2033,2238,47.05673,17.971345,4902,0,19,0,0,2,0
3201,"Iszkaszentgyörgy","Iszkaszentgyorgy",2032,2627,47.242908,18.302561,3707,0,7,0,0,2,0
2463,"Koroncó","Koronco",2031,2690,47.597065,17.528702,3802,0,8,0,0,3,0
2178,"Pázmánd","Pazmand",2029,2714,47.29113,18.65098,3704,0,7,0,0,2,0
853,"Szany","Szany",2025,3414,47.461643,17.301986,3801,0,8,0,0,3,0
2519,"Bogács","Bogacs",2024,2470,47.907873,20.527819,3505,0,5,0,0,5,0
1196,"Bátya","Batya",2023,3386,46.486228,18.953371,3303,0,3,0,0,7,0
490,"Pócsmegyer","Pocsmegyer",2021,1308,47.7165,19.09576,4314,0,13,0,0,1,0
1234,"Csengõd","Csengod",2020,4889,46.711488,19.268729,3305,0,3,0,0,7,0
1997,"Fábiánsebestyén","Fabiansebestyen",2020,7173,46.67302,20.45213,3607,0,6,0,0,7,0
1768,"Ágasegyháza","Agasegyhaza",2018,5587,46.841245,19.44839,3304,0,3,0,0,7,0
679,"Hidas","Hidas",2017,1906,46.25981,18.491975,3208,0,2,0,0,4,0
2406,"Õsi","Osi",2017,3586,47.141015,18.18506,4907,0,19,0,0,2,0
868,"Süttõ","Sutto",2016,3436,47.757599,18.44767,4102,0,11,0,0,2,0
584,"Harsány","Harsany",2014,3653,47.964965,20.74265,3501,0,5,0,0,5,0
2902,"Kunfehértó","Kunfeherto",2014,7837,46.36152,19.413625,3307,0,3,0,0,7,0
3238,"Nyírmártonfalva","Nyirmartonfalva",2013,5748,47.585911,21.896168,3909,0,9,0,0,6,0
2636,"Nyírmihálydi","Nyirmihalydi",2011,2548,47.734577,21.970122,4507,0,15,0,0,6,0
2596,"Konyár","Konyar",2010,4170,47.320692,21.668993,3908,0,9,0,0,6,0
3332,"Soponya","Soponya",2010,4996,47.01386,18.454135,3708,0,7,0,0,2,0
2107,"Dunaszeg","Dunaszeg",2006,1726,47.76915,17.54044,3802,0,8,0,0,3,0
337,"Tiszapüspöki","Tiszapuspoki",2005,3745,47.21376,20.317039,4606,0,16,0,0,6,0
1242,"Rákócziújfalu","Rakocziujfalu",2002,1961,47.05754,20.263495,4604,0,16,0,0,6,0
2211,"Szigetújfalu","Szigetujfalu",1997,1083,47.233285,18.922096,4307,0,13,0,0,1,0
1458,"Vámosgyörk","Vamosgyork",1991,2182,47.681648,19.92786,4004,0,10,0,0,5,0
751,"Domoszló","Domoszlo",1988,4022,47.826229,20.115702,4004,0,10,0,0,5,0
935,"Aranyosapáti","Aranyosapati",1979,2111,48.214011,22.260033,4510,0,15,0,0,6,0
2006,"Nyársapát","Nyarsapat",1978,5403,47.09761,19.795315,4302,0,13,0,0,1,0
2024,"Heréd","Hered",1976,1396,47.707374,19.633567,4005,0,10,0,0,5,0
2357,"Jászfelsõszentgyörgy","Jaszfelsoszentgyorgy",1974,3928,47.508968,19.788361,4601,0,16,0,0,6,0
630,"Nagyrábé","Nagyrabe",1974,8542,47.205255,21.319599,3907,0,9,0,0,6,0
2738,"Tatárszentgyörgy","Tatarszentgyorgy",1974,5506,47.080669,19.37089,4303,0,13,0,0,1,0
493,"Taszár","Taszar",1973,1729,46.37167,17.905775,4404,0,14,0,0,4,0
2617,"Hajdúbagos","Hajdubagos",1972,3744,47.3888,21.66466,3908,0,9,0,0,6,0
3220,"Fehérvárcsurgó","Fehervarcsurgo",1971,2964,47.294873,18.262963,3705,0,7,0,0,2,0
3228,"Csengele","Csengele",1967,6066,46.537475,19.862225,3603,0,6,0,0,7,0
2722,"Kálmánháza","Kalmanhaza",1965,3724,47.884693,21.583881,4508,0,15,0,0,6,0
743,"Parád","Parad",1964,3720,47.923165,20.029412,4006,0,10,0,0,5,0
2910,"Baks","Baks",1963,6192,46.539815,20.100755,3603,0,6,0,0,7,0
2275,"Kaszaper","Kaszaper",1963,3357,46.45857,20.823025,3402,0,4,0,0,7,0
3232,"Encsencs","Encsencs",1960,3191,47.74744,22.121055,4507,0,15,0,0,6,0
2829,"Lábod","Labod",1960,6651,46.202645,17.451905,4407,0,14,0,0,4,0
2712,"Galgamácsa","Galgamacsa",1957,4331,47.70073,19.39713,4315,0,13,0,0,1,0
249,"Nagycenk","Nagycenk",1957,1945,47.60928,16.704725,3805,0,8,0,0,3,0
1593,"Gönc","Gonc",1951,3727,48.472179,21.277679,3512,1,5,0,1,5,0
2765,"Rózsaszentmárton","Rozsaszentmarton",1949,1631,47.789212,19.738224,4005,0,10,0,0,5,0
2114,"Apostag","Apostag",1948,3194,46.881105,18.960715,3309,0,3,0,0,7,0
2987,"Torony","Torony",1948,1283,47.240174,16.536568,4808,0,18,0,0,3,0
452,"Kecskéd","Kecsked",1947,1108,47.522077,18.308448,4105,0,11,0,0,2,0
2403,"Dombegyház","Dombegyhaz",1943,5794,46.338985,21.13267,3402,0,4,0,0,7,0
923,"Nyírgyulaj","Nyirgyulaj",1943,3576,47.883655,22.08759,4507,0,15,0,0,6,0
1847,"Csévharaszt","Csevharaszt",1941,4924,47.292795,19.42322,4305,0,13,0,0,1,0
2806,"Nyírtass","Nyirtass",1940,3795,48.115843,22.023514,4501,0,15,0,0,6,0
2112,"Szentkirály","Szentkiraly",1940,10189,46.92137,19.919045,3304,0,3,0,0,7,0
256,"Döbrököz","Dobrokoz",1939,4313,46.428181,18.236309,4702,0,17,0,0,4,0
1101,"Szihalom","Szihalom",1938,3417,47.77853,20.47708,4003,0,10,0,0,5,0
3157,"Kevermes","Kevermes",1937,4334,46.41559,21.180475,3402,0,4,0,0,7,0
2843,"Kék","Kek",1936,2204,48.115265,21.878925,4511,0,15,0,0,6,0
918,"Dunaszekcsõ","Dunaszekcso",1932,3675,46.08722,18.758675,3202,0,2,0,0,4,0
237,"Rád","Rad",1932,1774,47.792865,19.218535,4309,0,13,0,0,1,0
2838,"Kazár","Kazar",1930,3039,48.050114,19.856282,4205,0,12,0,0,5,0
295,"Felsõszentiván","Felsoszentivan",1928,5354,46.194255,19.189875,3301,0,3,0,0,7,0
2400,"Nyirád","Nyirad",1928,6136,47.005337,17.453437,4910,0,19,0,0,2,0
665,"Hejõbába","Hejobaba",1927,1872,47.90897,20.947095,3511,0,5,0,0,5,0
1094,"Nagykozár","Nagykozar",1927,1146,46.067167,18.316393,3207,0,2,0,0,4,0
1904,"Szurdokpüspöki","Szurdokpuspoki",1927,2671,47.86322,19.69425,4203,0,12,0,0,5,0
1053,"Dávod","Davod",1926,6921,45.997612,18.9195,3301,0,3,0,0,7,0
3399,"Farád","Farad",1926,2901,47.60396,17.203925,3801,0,8,0,0,3,0
2682,"Alap","Alap",1925,4829,46.800197,18.687823,3706,0,7,0,0,2,0
2172,"Zagyvaszántó","Zagyvaszanto",1923,952,47.77903,19.670705,4005,0,10,0,0,5,0
764,"Harka","Harka",1919,1100,47.635156,16.602264,3805,0,8,0,0,3,0
567,"Gégény","Gegeny",1918,2344,48.144278,21.948801,4511,0,15,0,0,6,0
2997,"Anarcs","Anarcs",1912,1706,48.17499,22.10592,4504,0,15,0,0,6,0
1221,"Tállya","Tallya",1905,3794,48.235665,21.228235,3509,0,5,0,0,5,0
2924,"Kesznyéten","Kesznyeten",1900,3641,47.9677,21.046865,3511,0,5,0,0,5,0
2258,"Vasad","Vasad",1899,3341,47.324268,19.404991,4305,0,13,0,0,1,0
1674,"Bajna","Bajna",1896,3727,47.658764,18.595282,4101,0,11,0,0,2,0
385,"Tiszabercel","Tiszabercel",1893,3138,48.15857,21.646435,4511,0,15,0,0,6,0
2475,"Egerszalók","Egerszalok",1886,2311,47.87105,20.32557,4001,0,10,0,0,5,0
2490,"Balatonszárszó","Balatonszarszo",1885,3013,46.824671,17.827858,4410,0,14,0,0,4,0
1652,"Nyírvasvári","Nyirvasvari",1884,2843,47.81754,22.19175,4507,0,15,0,0,6,0
2933,"Madocsa","Madocsa",1881,4333,46.689174,18.956709,4703,0,17,0,0,4,0
754,"Szentlõrinckáta","Szentlorinckata",1881,2015,47.524615,19.756895,4306,0,13,0,0,1,0
3169,"Csetény","Cseteny",1880,1837,47.318035,17.995513,4909,0,19,0,0,2,0
423,"Aszaló","Aszalo",1879,2535,48.219443,20.961726,3510,0,5,0,0,5,0
1293,"Hercegszántó","Hercegszanto",1879,6855,45.948629,18.9282,3301,0,3,0,0,7,0
313,"Taktaszada","Taktaszada",1878,2574,48.10841,21.17113,3509,0,5,0,0,5,0
340,"Budajenõ","Budajeno",1877,1242,47.555185,18.80403,4310,0,13,0,0,1,0
2687,"Nagyfüged","Nagyfuged",1877,2751,47.686031,20.10919,4004,0,10,0,0,5,0
3245,"Nyírkáta","Nyirkata",1877,3863,47.865356,22.24578,4505,0,15,0,0,6,0
1766,"Vácrátót","Vacratot",1870,1808,47.703885,19.240955,4315,0,13,0,0,1,0
767,"Gyulaháza","Gyulahaza",1869,2209,48.137107,22.112098,4504,0,15,0,0,6,0
1944,"Somogyvár","Somogyvar",1869,5299,46.583909,17.645343,4405,0,14,0,0,4,0
2841,"Visegrád","Visegrad",1863,3327,47.784661,18.967059,4314,0,13,0,1,1,0
1077,"Tiszabõ","Tiszabo",1862,3504,47.304615,20.48763,4606,0,16,0,0,6,0
2692,"Ásványráró","Asvanyraro",1858,3916,47.824646,17.495631,3804,0,8,0,0,3,0
2773,"Dunakiliti","Dunakiliti",1857,3363,47.966808,17.287703,3804,0,8,0,0,3,0
1881,"Noszvaj","Noszvaj",1857,1884,47.935435,20.476223,4001,0,10,0,0,5,0
2794,"Halmaj","Halmaj",1853,1260,48.246735,21.001505,3510,0,5,0,0,5,0
852,"Sirok","Sirok",1846,6339,47.931391,20.196773,4006,0,10,0,0,5,0
1178,"Zalakaros","Zalakaros",1846,1717,46.550585,17.123385,5009,1,20,0,1,3,0
2017,"Tiszabezdéd","Tiszabezded",1845,1861,48.365385,22.151212,4512,0,15,0,0,6,0
2072,"Balatonfenyves","Balatonfenyves",1844,5193,46.711903,17.479842,4403,0,14,0,0,4,0
3289,"Tar","Tar",1844,2734,47.94935,19.740675,4203,0,12,0,0,5,0
1490,"Sármellék","Sarmellek",1843,3537,46.708805,17.168687,5007,0,20,0,0,3,0
2847,"Kisléta","Kisleta",1842,2200,47.834156,22.004128,4507,0,15,0,0,6,0
1487,"Mátraderecske","Matraderecske",1839,1399,47.950151,20.082655,4006,0,10,0,0,5,0
885,"Karancskeszi","Karancskeszi",1837,3170,48.178445,19.67052,4205,0,12,0,0,5,0
977,"Csór","Csor",1832,4149,47.205144,18.256867,3707,0,7,0,0,2,0
3139,"Tyukod","Tyukod",1832,6218,47.853115,22.558955,4502,0,15,0,0,6,0
2993,"Felcsút","Felcsut",1831,2202,47.44028,18.58656,3701,0,7,0,0,2,0
830,"Bócsa","Bocsa",1830,9704,46.614942,19.476077,3305,0,3,0,0,7,0
3277,"Kocsér","Kocser",1830,6728,47.00241,19.92103,4302,0,13,0,0,1,0
560,"Szederkény","Szederkeny",1830,1433,45.99709,18.455905,3202,0,2,0,0,4,0
1988,"Váchartyán","Vachartyan",1820,1214,47.726601,19.252205,4309,0,13,0,0,1,0
1670,"Écs","ecs",1809,1984,47.562753,17.713827,3807,0,8,0,0,3,0
1209,"Nyírtura","Nyirtura",1809,2148,48.014326,21.833781,4508,0,15,0,0,6,0
694,"Szokolya","Szokolya",1809,5904,47.86728,19.008445,4309,0,13,0,0,1,0
339,"Piricse","Piricse",1808,3699,47.771711,22.152784,4507,0,15,0,0,6,0
2725,"Tiszanagyfalu","Tiszanagyfalu",1807,2705,48.0944,21.47075,4509,0,15,0,0,6,0
1637,"Csávoly","Csavoly",1806,4742,46.195545,19.142737,3301,0,3,0,0,7,0
2060,"Ikrény","Ikreny",1806,1558,47.654995,17.53304,3802,0,8,0,0,3,0
1412,"Tarnaörs","Tarnaors",1804,3028,47.595871,20.0518,4002,0,10,0,0,5,0
3254,"Nemesnádudvar","Nemesnadudvar",1802,5878,46.33336,19.05943,3301,0,3,0,0,7,0
1494,"Ságvár","Sagvar",1802,3844,46.839744,18.100861,4408,0,14,0,0,4,0
3133,"Csabacsûd","Csabacsud",1800,6685,46.82731,20.65164,3405,0,4,0,0,7,0
1138,"Ikervár","Ikervar",1798,3534,47.20903,16.896892,4806,0,18,0,0,3,0
2774,"Pap","Pap",1796,1715,48.221226,22.14053,4504,0,15,0,0,6,0
2665,"Járdánháza","Jardanhaza",1792,1124,48.156904,20.250817,3506,0,5,0,0,5,0
3354,"Nagyszentjános","Nagyszentjanos",1790,3030,47.709225,17.871965,3802,0,8,0,0,3,0
1492,"Újszentiván","Ujszentivan",1786,1549,46.1886,20.18285,3606,0,6,0,0,7,0
1503,"Enese","Enese",1785,1990,47.648539,17.423518,3802,0,8,0,0,3,0
1304,"Szamosszeg","Szamosszeg",1784,3530,48.045085,22.364104,4505,0,15,0,0,6,0
1919,"Nagyvázsony","Nagyvazsony",1783,7629,46.988825,17.70435,4908,0,19,0,0,2,0
1634,"Besnyõ","Besnyo",1779,4464,47.190646,18.794534,3709,0,7,0,0,2,0
1923,"Levél","Level",1777,2493,47.897323,17.20918,3804,0,8,0,0,3,0
2282,"Balatonszemes","Balatonszemes",1773,3602,46.80733,17.78145,4410,0,14,0,0,4,0
1722,"Petneháza","Petnehaza",1773,2420,48.056825,22.081385,4501,0,15,0,0,6,0
3176,"Ököritófülpös","Okoritofulpos",1772,3342,47.918499,22.50864,4505,0,15,0,0,6,0
270,"Pálmonostora","Palmonostora",1770,5328,46.63062,19.944314,3306,0,3,0,0,7,0
2120,"Lõkösháza","Lokoshaza",1762,5202,46.427319,21.23094,3408,0,4,0,0,7,0
3174,"Pacsa","Pacsa",1758,2271,46.722475,17.01029,5008,1,20,0,1,3,0
2521,"Murakeresztúr","Murakeresztur",1757,1171,46.362875,16.877325,5004,0,20,0,0,3,0
2888,"Rimóc","Rimoc",1757,2924,48.040741,19.529196,4206,0,12,0,0,5,0
1245,"Csökmõ","Csokmo",1756,6897,47.034229,21.29686,3902,0,9,0,0,6,0
1696,"Tiszasziget","Tiszasziget",1751,2689,46.173925,20.163505,3606,0,6,0,0,7,0
2590,"Tömörkény","Tomorkeny",1751,5391,46.614269,20.043131,3601,0,6,0,0,7,0
1641,"Császár","Csaszar",1750,6783,47.50223,18.140125,4103,0,11,0,0,2,0
1846,"Berekböszörmény","Berekboszormeny",1749,4284,47.067089,21.68487,3902,0,9,0,0,6,0
1390,"Nádasdladány","Nadasdladany",1749,2635,47.137368,18.240281,3707,0,7,0,0,2,0
1654,"Markaz","Markaz",1748,2561,47.826603,20.058623,4004,0,10,0,0,5,0
275,"Vértesacsa","Vertesacsa",1745,3619,47.372462,18.578134,3701,0,7,0,0,2,0
1453,"Kömlõ","Komlo",1743,4922,46.19024,18.26023,4002,0,10,0,0,5,0
3352,"Mátraterenye","Matraterenye",1740,2813,48.014364,19.97068,4202,0,12,0,0,5,0
559,"Izsófalva","Izsofalva",1739,941,48.304762,20.654422,3504,0,5,0,0,5,0
2215,"Fülöp","Fulop",1738,5595,47.601028,22.058781,3909,0,9,0,0,6,0
2121,"Karcsa","Karcsa",1734,4370,48.312023,21.793857,3513,0,5,0,0,5,0
2274,"Nagycserkesz","Nagycserkesz",1732,4148,47.966723,21.554913,4508,0,15,0,0,6,0
2561,"Méra","Mera",1731,1511,48.349793,21.142764,3503,0,5,0,0,5,0
391,"Csákánydoroszló","Csakanydoroszlo",1730,2661,46.97134,16.504874,4803,0,18,0,0,3,0
1968,"Újlengyel","Ujlengyel",1730,2625,47.23154,19.44877,4303,0,13,0,0,1,0
2548,"Leányvár","Leanyvar",1724,726,47.68144,18.77001,4101,0,11,0,0,2,0
2607,"Rábapaty","Rabapaty",1715,2141,47.311905,16.93313,4806,0,18,0,0,3,0
1124,"Pócspetri","Pocspetri",1713,2637,47.881795,21.991305,4507,0,15,0,0,6,0
594,"Bakonyszentlászló","Bakonyszentlaszlo",1703,3851,47.392784,17.803226,3807,0,8,0,0,3,0
2499,"Tázlár","Tazlar",1702,7338,46.548975,19.51587,3305,0,3,0,0,7,0
539,"Pusztaföldvár","Pusztafoldvar",1700,5713,46.531738,20.80567,3403,0,4,0,0,7,0
1609,"Atkár","Atkar",1695,3376,47.718645,19.888605,4004,0,10,0,0,5,0
578,"Ladánybene","Ladanybene",1694,4074,47.03324,19.454795,3304,0,3,0,0,7,0
2853,"Vajszló","Vajszlo",1694,1771,45.859034,17.984467,3204,0,2,0,0,4,0
1213,"Nógrádmegyer","Nogradmegyer",1693,2277,48.068431,19.624439,4206,0,12,0,0,5,0
1171,"Báta","Bata",1692,6616,46.129456,18.777876,4704,0,17,0,0,4,0
1228,"Máriakálnok","Mariakalnok",1692,1548,47.859097,17.321662,3804,0,8,0,0,3,0
1500,"Németkér","Nemetker",1688,6497,46.718106,18.767719,4703,0,17,0,0,4,0
1937,"Mátranovák","Matranovak",1686,2697,48.036575,19.977178,4202,0,12,0,0,5,0
2805,"Tolcsva","Tolcsva",1681,1648,48.28364,21.449445,3507,0,5,0,0,5,0
2710,"Vasmegyer","Vasmegyer",1678,2273,48.113005,21.81617,4511,0,15,0,0,6,0
2814,"Mosonszolnok","Mosonszolnok",1676,4392,47.852669,17.174797,3804,0,8,0,0,3,0
1085,"Érpatak","Erpatak",1673,3133,47.808973,21.757799,4506,0,15,0,0,6,0
3406,"Ormosbánya","Ormosbanya",1670,754,48.33145,20.64991,3504,0,5,0,0,5,0
473,"Bak","Bak",1665,2305,46.73067,16.8464,5005,0,20,0,0,3,0
358,"Szabolcsveresmart","Szabolcsveresmart",1665,2295,48.29509,22.02666,4504,0,15,0,0,6,0
3043,"Görcsöny","Gorcsony",1663,1852,45.97049,18.136089,3207,0,2,0,0,4,0
1324,"Tarnalelesz","Tarnalelesz",1663,3713,48.058252,20.183726,4006,0,10,0,0,5,0
784,"Jánkmajtis","Jankmajtis",1662,2503,47.93304,22.659955,4503,0,15,0,0,6,0
3177,"Olaszliszka","Olaszliszka",1661,3949,48.243468,21.432227,3507,0,5,0,0,5,0
1922,"Ricse","Ricse",1661,2475,48.326535,21.971095,3513,0,5,0,0,5,0
564,"Szilvásvárad","Szilvasvarad",1660,3782,48.098543,20.390344,4007,0,10,0,0,5,0
909,"Kaposfõ","Kaposfo",1659,2726,46.362934,17.672111,4411,0,14,0,0,4,0
1202,"Csólyospálos","Csolyospalos",1658,6510,46.41735,19.84083,3308,0,3,0,0,7,0
323,"Fajsz","Fajsz",1658,3199,46.42558,18.915405,3303,0,3,0,0,7,0
3063,"Miske","Miske",1656,4227,46.446764,19.031635,3303,0,3,0,0,7,0
